Energy Source,Unit,Quantity,CO2 Emission (tonnes),Carbon Footprint Value (kg CO2e)
Water,liters,8728.58,0.002601,2.6
Water,liters,8420.92,0.002509,2.51
Water,liters,1869.15,0.000557,0.56
Water,liters,8028.41,0.002392,2.39
Water,liters,4587.29,0.001367,1.37
Water,liters,4834.86,0.001441,1.44
Water,liters,1343.46,0.0004,0.4
Water,liters,815.21,0.000243,0.24
Water,liters,7282.11,0.00217,2.17
Water,liters,4969.65,0.001481,1.48
Water,liters,4374.14,0.001303,1.3
Water,liters,7297.79,0.002175,2.17
Water,liters,7657.47,0.002282,2.28
Water,liters,1597.49,0.000476,0.48
Water,liters,6106.15,0.00182,1.82
Water,liters,1362.19,0.000406,0.41
Water,liters,7516.24,0.00224,2.24
Water,liters,6572.98,0.001959,1.96
Water,liters,9566.58,0.002851,2.85
Water,liters,698.89,0.000208,0.21
Water,liters,579.98,0.000173,0.17
Water,liters,2829.05,0.000843,0.84
Methane,m3,2624.44,7.21721,7217.21
Methane,m3,2477.32,6.81263,6812.63
Methane,m3,9063.48,24.92457,24924.57
Methane,m3,2502.97,6.883167,6883.17
Methane,m3,2726.78,7.498645,7498.64
Methane,m3,7596.39,20.890072,20890.07
Methane,m3,4502.9,12.382975,12382.97
Methane,m3,7769.34,21.365685,21365.68
Methane,m3,663.01,1.823277,1823.28
Methane,m3,4880.84,13.42231,13422.31
Methane,m3,345.8,0.95095,950.95
Methane,m3,635.91,1.748752,1748.75
Methane,m3,9065.31,24.929602,24929.6
Methane,m3,1401.06,3.852915,3852.91
Methane,m3,5328.88,14.65442,14654.42
Methane,m3,4116.85,11.321338,11321.34
Methane,m3,3479.96,9.56989,9569.89
Methane,m3,8999.34,24.748185,24748.18
Methane,m3,228.02,0.627055,627.06
Methane,m3,6641.26,18.263465,18263.47
Methane,m3,9634.31,26.494352,26494.35
Methane,m3,5606.08,15.41672,15416.72
Methane,m3,9368.86,25.764365,25764.37
Methane,m3,532.06,1.463165,1463.16
Methane,m3,4193.75,11.532812,11532.81
Methane,m3,2608.98,7.174695,7174.69
Methane,m3,7310.9,20.104975,20104.97
Methane,m3,9813.16,26.98619,26986.19
Methane,m3,2572.74,7.075035,7075.03
Methane,m3,6545.2,17.9993,17999.3
Methane,m3,1989.0,5.46975,5469.75
Methane,m3,5657.65,15.558537,15558.54
Methane,m3,4644.69,12.772897,12772.9
Methane,m3,9720.33,26.730907,26730.91
Methane,m3,6089.19,16.745272,16745.27
Methane,m3,3501.57,9.629317,9629.32
Methane,m3,1149.82,3.162005,3162.0
Methane,m3,1520.96,4.18264,4182.64
Methane,m3,2260.92,6.21753,6217.53
Methane,m3,2517.16,6.92219,6922.19
Methane,m3,8507.65,23.396037,23396.04
Methane,m3,5616.62,15.445705,15445.7
Methane,m3,5238.68,14.40637,14406.37
Methane,m3,1156.54,3.180485,3180.48
Methane,m3,8602.8,23.6577,23657.7
Methane,m3,7230.91,19.885002,19885.0
Methane,m3,686.01,1.886527,1886.53
Methane,m3,7081.27,19.473492,19473.49
Methane,m3,5439.95,14.959862,14959.86
Methane,m3,826.44,2.27271,2272.71
Methane,m3,4588.42,12.618155,12618.16
Methane,m3,4852.12,13.34333,13343.33
Methane,m3,1666.09,4.581747,4581.75
Methane,m3,9457.52,26.00818,26008.18
Methane,m3,8501.25,23.378437,23378.44
Methane,m3,6693.53,18.407207,18407.21
Methane,m3,4628.33,12.727907,12727.91
Methane,m3,4123.54,11.339735,11339.73
Methane,m3,6513.22,17.911355,17911.35
Methane,m3,5458.86,15.011865,15011.86
Methane,m3,632.11,1.738302,1738.3
Methane,m3,5129.9,14.107225,14107.22
Methane,m3,8065.97,22.181417,22181.42
Methane,m3,4597.81,12.643978,12643.98
Methane,m3,529.05,1.454887,1454.89
Methane,m3,7864.92,21.62853,21628.53
Methane,m3,2021.62,5.559455,5559.45
Methane,m3,2593.62,7.132455,7132.45
Methane,m3,1655.42,4.552405,4552.41
Methane,m3,3308.85,9.099337,9099.34
Methane,m3,7569.95,20.817362,20817.36
Methane,m3,5198.66,14.296315,14296.31
Methane,m3,2056.76,5.65609,5656.09
Methane,m3,8779.52,24.14368,24143.68
Methane,m3,8797.02,24.191805,24191.81
Methane,m3,8707.08,23.94447,23944.47
Methane,m3,2395.57,6.587817,6587.82
Methane,m3,4517.88,12.42417,12424.17
Methane,m3,9850.05,27.087637,27087.64
Methane,m3,7722.4,21.2366,21236.6
Methane,m3,281.4,0.77385,773.85
Methane,m3,661.39,1.818822,1818.82
Methane,m3,4644.67,12.772842,12772.84
Methane,m3,9093.11,25.006052,25006.05
Methane,m3,5391.63,14.826982,14826.98
Methane,m3,4983.15,13.703662,13703.66
Methane,m3,1063.68,2.92512,2925.12
Methane,m3,6571.23,18.070882,18070.88
Methane,m3,8222.81,22.612727,22612.73
Methane,m3,3810.4,10.4786,10478.6
Methane,m3,7758.36,21.33549,21335.49
Methane,m3,9645.12,26.52408,26524.08
Methane,m3,2045.63,5.625483,5625.48
Methane,m3,5238.06,14.404665,14404.66
Methane,m3,2878.51,7.915903,7915.9
Methane,m3,7930.62,21.809205,21809.2
Methane,m3,5780.16,15.89544,15895.44
Methane,m3,6349.48,17.46107,17461.07
Methane,m3,7981.16,21.94819,21948.19
Methane,m3,3965.75,10.905812,10905.81
Methane,m3,9151.75,25.167312,25167.31
Methane,m3,5334.96,14.67114,14671.14
Methane,m3,1587.97,4.366917,4366.92
Methane,m3,6962.03,19.145582,19145.58
Methane,m3,7934.68,21.82037,21820.37
Methane,m3,3174.45,8.729737,8729.74
Methane,m3,8573.22,23.576355,23576.35
Methane,m3,9062.37,24.921518,24921.52
Methane,m3,2776.28,7.63477,7634.77
Methane,m3,9835.38,27.047295,27047.29
Methane,m3,1415.71,3.893202,3893.2
Methane,m3,2028.14,5.577385,5577.38
Methane,m3,1850.41,5.088628,5088.63
Methane,m3,8940.96,24.58764,24587.64
Methane,m3,6546.38,18.002545,18002.54
Methane,m3,1529.52,4.20618,4206.18
Methane,m3,4408.83,12.124282,12124.28
Methane,m3,6156.83,16.931282,16931.28
Methane,m3,843.81,2.320477,2320.48
Methane,m3,8825.34,24.269685,24269.68
Methane,m3,8038.0,22.1045,22104.5
Methane,m3,5057.02,13.906805,13906.81
Methane,m3,9671.59,26.596872,26596.87
Methane,m3,4183.43,11.504433,11504.43
Methane,m3,9841.26,27.063465,27063.47
Methane,m3,6682.52,18.37693,18376.93
Methane,m3,6350.37,17.463517,17463.52
Methane,m3,1667.89,4.586697,4586.7
Methane,m3,8820.46,24.256265,24256.26
Methane,m3,4280.62,11.771705,11771.7
Methane,m3,1630.71,4.484452,4484.45
Methane,m3,135.95,0.373862,373.86
Methane,m3,5601.96,15.40539,15405.39
Methane,m3,5278.72,14.51648,14516.48
Methane,m3,7196.34,19.789935,19789.94
Methane,m3,8903.68,24.48512,24485.12
Methane,m3,803.27,2.208992,2208.99
Methane,m3,7317.65,20.123537,20123.54
Methane,m3,1882.25,5.176187,5176.19
Methane,m3,8583.19,23.603773,23603.77
Methane,m3,8192.44,22.52921,22529.21
Methane,m3,5412.53,14.884457,14884.46
Methane,m3,7105.33,19.539657,19539.66
Methane,m3,3150.36,8.66349,8663.49
Methane,m3,4716.97,12.971668,12971.67
Methane,m3,8218.15,22.599912,22599.91
Methane,m3,4598.06,12.644665,12644.66
Methane,m3,3584.4,9.8571,9857.1
Methane,m3,4947.18,13.604745,13604.74
Methane,m3,8284.21,22.781577,22781.58
Methane,m3,3358.73,9.236508,9236.51
Methane,m3,1745.88,4.80117,4801.17
Methane,m3,7123.02,19.588305,19588.3
Methane,m3,8261.52,22.71918,22719.18
Methane,m3,1015.37,2.792267,2792.27
Methane,m3,2406.34,6.617435,6617.44
Methane,m3,1428.3,3.927825,3927.82
Methane,m3,3485.93,9.586307,9586.31
Methane,m3,4509.01,12.399777,12399.78
Methane,m3,7490.78,20.599645,20599.65
Methane,m3,6514.96,17.91614,17916.14
Methane,m3,6213.08,17.08597,17085.97
Methane,m3,3530.23,9.708132,9708.13
Methane,m3,8416.06,23.144165,23144.16
Methane,m3,4718.16,12.97494,12974.94
Methane,m3,9791.26,26.925965,26925.96
Methane,m3,6345.08,17.44897,17448.97
Methane,m3,1271.38,3.496295,3496.3
Methane,m3,6765.01,18.603777,18603.78
Methane,m3,3257.79,8.958922,8958.92
Methane,m3,6866.41,18.882627,18882.63
Methane,m3,705.72,1.94073,1940.73
Methane,m3,1757.07,4.831942,4831.94
Methane,m3,8558.82,23.536755,23536.76
Methane,m3,2279.52,6.26868,6268.68
Methane,m3,8372.04,23.02311,23023.11
Methane,m3,2799.97,7.699917,7699.92
Methane,m3,6432.39,17.689072,17689.07
Methane,m3,6944.56,19.09754,19097.54
Methane,m3,5131.42,14.111405,14111.4
Methane,m3,3060.05,8.415138,8415.14
Methane,m3,2134.32,5.86938,5869.38
Methane,m3,341.56,0.93929,939.29
Methane,m3,3046.42,8.377655,8377.65
Methane,m3,6535.1,17.971525,17971.53
Methane,m3,9383.67,25.805092,25805.09
Methane,m3,8713.33,23.961657,23961.66
Methane,m3,7662.99,21.073222,21073.22
Methane,m3,7886.59,21.688122,21688.12
Methane,m3,6653.2,18.2963,18296.3
Methane,m3,2610.27,7.178242,7178.24
Methane,m3,9072.88,24.95042,24950.42
Methane,m3,6710.62,18.454205,18454.2
Methane,m3,5608.8,15.4242,15424.2
Methane,m3,1118.78,3.076645,3076.64
Methane,m3,4476.08,12.30922,12309.22
Methane,m3,4608.98,12.674695,12674.69
Methane,m3,8646.99,23.779222,23779.22
Methane,m3,5471.02,15.045305,15045.31
Methane,m3,3810.2,10.47805,10478.05
Methane,m3,9768.24,26.86266,26862.66
Methane,m3,1116.1,3.069275,3069.27
Methane,m3,4231.26,11.635965,11635.97
Methane,m3,429.83,1.182032,1182.03
Methane,m3,7401.64,20.35451,20354.51
Methane,m3,9181.58,25.249345,25249.34
Methane,m3,2807.57,7.720817,7720.82
Methane,m3,8584.83,23.608282,23608.28
Methane,m3,2929.26,8.055465,8055.47
Methane,m3,9108.59,25.048623,25048.62
Methane,m3,7542.08,20.74072,20740.72
Methane,m3,8051.02,22.140305,22140.31
Methane,m3,189.89,0.522197,522.2
Methane,m3,9628.48,26.47832,26478.32
Methane,m3,7269.44,19.99096,19990.96
Methane,m3,3054.46,8.399765,8399.77
Methane,m3,8295.65,22.813037,22813.04
Methane,m3,2822.4,7.7616,7761.6
Methane,m3,8728.81,24.004227,24004.23
Methane,m3,1134.68,3.12037,3120.37
Methane,m3,7039.82,19.359505,19359.5
Methane,m3,5411.58,14.881845,14881.84
Methane,m3,974.38,2.679545,2679.54
Methane,m3,2426.52,6.67293,6672.93
Methane,m3,133.92,0.36828,368.28
Methane,m3,4692.99,12.905722,12905.72
Methane,m3,3019.64,8.30401,8304.01
Methane,m3,5987.59,16.465872,16465.87
Methane,m3,2979.41,8.193377,8193.38
Methane,m3,3006.19,8.267022,8267.02
Methane,m3,7434.5,20.444875,20444.88
Methane,m3,490.95,1.350112,1350.11
Methane,m3,9029.92,24.83228,24832.28
Methane,m3,8524.12,23.44133,23441.33
Methane,m3,6681.37,18.373767,18373.77
Methane,m3,5936.28,16.32477,16324.77
Methane,m3,8924.1,24.541275,24541.27
Methane,m3,1861.45,5.118988,5118.99
Methane,m3,798.9,2.196975,2196.97
Methane,m3,2402.71,6.607452,6607.45
Methane,m3,7947.84,21.85656,21856.56
Methane,m3,356.36,0.97999,979.99
Methane,m3,5832.24,16.03866,16038.66
Methane,m3,9954.42,27.374655,27374.65
Methane,m3,8558.4,23.5356,23535.6
Methane,m3,5219.24,14.35291,14352.91
Methane,m3,645.77,1.775867,1775.87
Methane,m3,8315.42,22.867405,22867.4
Methane,m3,5993.8,16.48295,16482.95
Methane,m3,1158.18,3.184995,3184.99
Methane,m3,947.63,2.605982,2605.98
Methane,m3,9097.17,25.017217,25017.22
Methane,m3,6695.31,18.412102,18412.1
Methane,m3,8294.58,22.810095,22810.09
Methane,m3,8791.0,24.17525,24175.25
Methane,m3,5722.01,15.735527,15735.53
Methane,m3,5179.29,14.243047,14243.05
Methane,m3,4309.97,11.852417,11852.42
Methane,m3,3176.3,8.734825,8734.83
Methane,m3,4351.61,11.966927,11966.93
Methane,m3,7741.06,21.287915,21287.91
Methane,m3,6023.22,16.563855,16563.85
Methane,m3,8926.31,24.547352,24547.35
Methane,m3,4439.37,12.208267,12208.27
Methane,m3,6074.82,16.705755,16705.76
Methane,m3,6316.76,17.37109,17371.09
Methane,m3,5921.05,16.282888,16282.89
Methane,m3,7029.31,19.330603,19330.6
Methane,m3,2381.96,6.55039,6550.39
Methane,m3,5128.51,14.103402,14103.4
Methane,m3,1051.21,2.890827,2890.83
Methane,m3,3851.27,10.590992,10590.99
Methane,m3,4881.79,13.424922,13424.92
Methane,m3,6525.72,17.94573,17945.73
Methane,m3,9505.81,26.140977,26140.98
Methane,m3,6010.5,16.528875,16528.88
Methane,m3,7438.5,20.455875,20455.88
Methane,m3,5067.6,13.9359,13935.9
Methane,m3,6344.7,17.447925,17447.92
Methane,m3,718.61,1.976177,1976.18
Methane,m3,2551.37,7.016267,7016.27
Methane,m3,3624.91,9.968502,9968.5
Methane,m3,4730.21,13.008077,13008.08
Methane,m3,466.03,1.281582,1281.58
Methane,m3,1408.84,3.87431,3874.31
Methane,m3,2775.37,7.632267,7632.27
Methane,m3,9715.61,26.717927,26717.93
Methane,m3,3320.16,9.13044,9130.44
Methane,m3,4825.59,13.270372,13270.37
Methane,m3,1969.02,5.414805,5414.8
Methane,m3,6111.69,16.807147,16807.15
Methane,m3,2814.03,7.738582,7738.58
Methane,m3,2077.86,5.714115,5714.11
Methane,m3,5170.56,14.21904,14219.04
Methane,m3,65.0,0.17875,178.75
Methane,m3,86.56,0.23804,238.04
Methane,m3,2198.5,6.045875,6045.88
Methane,m3,376.85,1.036337,1036.34
Methane,m3,1089.18,2.995245,2995.25
Methane,m3,3395.22,9.336855,9336.85
Methane,m3,8027.83,22.076532,22076.53
Methane,m3,5724.77,15.743118,15743.12
Methane,m3,5131.55,14.111762,14111.76
Methane,m3,2941.95,8.090362,8090.36
Methane,m3,9318.22,25.625105,25625.1
Methane,m3,3976.18,10.934495,10934.49
Methane,m3,880.06,2.420165,2420.16
Methane,m3,6174.49,16.979847,16979.85
Methane,m3,1147.25,3.154937,3154.94
Methane,m3,3458.78,9.511645,9511.65
Methane,m3,5079.05,13.967387,13967.39
Methane,m3,8743.48,24.04457,24044.57
Methane,m3,4940.53,13.586457,13586.46
Methane,m3,7025.57,19.320317,19320.32
Methane,m3,9928.24,27.30266,27302.66
Methane,m3,1323.58,3.639845,3639.84
Methane,m3,2754.57,7.575068,7575.07
Methane,m3,3951.81,10.867477,10867.48
Methane,m3,4224.06,11.616165,11616.17
Methane,m3,4116.1,11.319275,11319.28
Methane,m3,9077.03,24.961832,24961.83
Methane,m3,7143.19,19.643772,19643.77
Methane,m3,6082.97,16.728168,16728.17
Methane,m3,3100.63,8.526732,8526.73
Methane,m3,8239.67,22.659092,22659.09
Methane,m3,9551.05,26.265387,26265.39
Methane,m3,8213.77,22.587868,22587.87
Methane,m3,25.64,0.07051,70.51
Methane,m3,6367.65,17.511037,17511.04
Methane,m3,520.84,1.43231,1432.31
Methane,m3,2583.5,7.104625,7104.62
Methane,m3,604.65,1.662787,1662.79
Methane,m3,6041.92,16.61528,16615.28
Methane,m3,6869.03,18.889832,18889.83
Methane,m3,1153.73,3.172757,3172.76
Methane,m3,3844.55,10.572513,10572.51
Methane,m3,4567.8,12.56145,12561.45
Methane,m3,3696.84,10.16631,10166.31
Methane,m3,1219.04,3.35236,3352.36
Methane,m3,4195.29,11.537047,11537.05
Methane,m3,7514.27,20.664243,20664.24
Methane,m3,719.37,1.978267,1978.27
Methane,m3,811.0,2.23025,2230.25
Methane,m3,3554.17,9.773967,9773.97
Methane,m3,9417.84,25.89906,25899.06
Methane,m3,6689.04,18.39486,18394.86
Methane,m3,6789.91,18.672252,18672.25
Methane,m3,3625.58,9.970345,9970.34
Methane,m3,5940.67,16.336842,16336.84
Methane,m3,111.21,0.305827,305.83
Methane,m3,6364.6,17.50265,17502.65
Methane,m3,9133.74,25.117785,25117.78
Methane,m3,6129.61,16.856427,16856.43
Methane,m3,8738.25,24.030188,24030.19
Methane,m3,7242.49,19.916847,19916.85
Methane,m3,1214.38,3.339545,3339.55
Methane,m3,9025.51,24.820152,24820.15
Methane,m3,673.77,1.852867,1852.87
Methane,m3,5344.34,14.696935,14696.93
Methane,m3,1429.95,3.932362,3932.36
Methane,m3,126.95,0.349112,349.11
Methane,m3,4226.12,11.62183,11621.83
Methane,m3,2957.46,8.133015,8133.02
Methane,m3,4865.14,13.379135,13379.14
Methane,m3,5776.23,15.884632,15884.63
Methane,m3,446.95,1.229112,1229.11
Methane,m3,1238.8,3.4067,3406.7
Methane,m3,5590.84,15.37481,15374.81
Methane,m3,3438.24,9.45516,9455.16
Methane,m3,7294.44,20.05971,20059.71
Methane,m3,6526.39,17.947572,17947.57
Methane,m3,8457.59,23.258373,23258.37
Methane,m3,6928.0,19.052,19052.0
Methane,m3,4305.01,11.838777,11838.78
Methane,m3,6732.94,18.515585,18515.58
Methane,m3,2761.06,7.592915,7592.91
Methane,m3,3070.07,8.442692,8442.69
Methane,m3,7891.96,21.70289,21702.89
Methane,m3,4469.73,12.291757,12291.76
Methane,m3,7985.82,21.961005,21961.0
Methane,m3,8226.0,22.6215,22621.5
Methane,m3,8577.05,23.586887,23586.89
Methane,m3,9167.19,25.209772,25209.77
Methane,m3,4315.54,11.867735,11867.74
Methane,m3,3195.48,8.78757,8787.57
Methane,m3,5826.17,16.021967,16021.97
Methane,m3,3718.01,10.224528,10224.53
Methane,m3,6014.73,16.540507,16540.51
Methane,m3,7058.8,19.4117,19411.7
Methane,m3,6887.17,18.939718,18939.72
Methane,m3,3751.78,10.317395,10317.39
Methane,m3,1676.93,4.611557,4611.56
Methane,m3,4310.99,11.855222,11855.22
Methane,m3,1434.52,3.94493,3944.93
Methane,m3,8902.07,24.480692,24480.69
Methane,m3,3465.32,9.52963,9529.63
Methane,m3,1553.05,4.270887,4270.89
Methane,m3,264.22,0.726605,726.61
Methane,m3,6461.77,17.769868,17769.87
Methane,m3,6372.65,17.524787,17524.79
Methane,m3,3412.64,9.38476,9384.76
Methane,m3,726.4,1.9976,1997.6
Methane,m3,4102.19,11.281022,11281.02
Methane,m3,3119.06,8.577415,8577.42
Methane,m3,6774.44,18.62971,18629.71
Methane,m3,6061.73,16.669757,16669.76
Methane,m3,3652.29,10.043798,10043.8
Methane,m3,2186.75,6.013562,6013.56
Methane,m3,9880.48,27.17132,27171.32
Methane,m3,4545.48,12.50007,12500.07
Methane,m3,6885.86,18.936115,18936.11
Methane,m3,1414.12,3.88883,3888.83
Methane,m3,4861.04,13.36786,13367.86
Methane,m3,285.09,0.783997,784.0
Methane,m3,5059.5,13.913625,13913.62
Methane,m3,9640.53,26.511457,26511.46
Methane,m3,3848.23,10.582632,10582.63
Methane,m3,399.57,1.098818,1098.82
Methane,m3,319.25,0.877937,877.94
Methane,m3,3885.99,10.686472,10686.47
Methane,m3,1608.65,4.423788,4423.79
Methane,m3,243.29,0.669047,669.05
Methane,m3,7564.57,20.802567,20802.57
Methane,m3,4590.64,12.62426,12624.26
Methane,m3,2899.56,7.97379,7973.79
Methane,m3,9001.83,24.755032,24755.03
Methane,m3,1170.23,3.218132,3218.13
Methane,m3,9559.63,26.288982,26288.98
Methane,m3,3146.53,8.652957,8652.96
Methane,m3,8885.15,24.434162,24434.16
Methane,m3,6033.4,16.59185,16591.85
Methane,m3,8268.81,22.739227,22739.23
Methane,m3,9840.29,27.060797,27060.8
Methane,m3,2891.17,7.950717,7950.72
Methane,m3,9611.74,26.432285,26432.28
Methane,m3,3900.92,10.72753,10727.53
Methane,m3,3861.26,10.618465,10618.47
Methane,m3,3410.47,9.378792,9378.79
Methane,m3,5418.66,14.901315,14901.31
Methane,m3,1549.91,4.262252,4262.25
Methane,m3,5541.58,15.239345,15239.34
Methane,m3,5421.63,14.909482,14909.48
Methane,m3,7621.4,20.95885,20958.85
Methane,m3,8338.16,22.92994,22929.94
Methane,m3,4410.01,12.127527,12127.53
Methane,m3,3030.31,8.333353,8333.35
Methane,m3,2600.76,7.15209,7152.09
Methane,m3,1954.29,5.374297,5374.3
Methane,m3,585.9,1.611225,1611.22
Methane,m3,3431.06,9.435415,9435.41
Methane,m3,2709.77,7.451867,7451.87
Methane,m3,9664.51,26.577402,26577.4
Methane,m3,5581.51,15.349152,15349.15
Methane,m3,3479.3,9.568075,9568.08
Methane,m3,5808.87,15.974392,15974.39
Methane,m3,1400.58,3.851595,3851.59
Methane,m3,4446.0,12.2265,12226.5
Methane,m3,6266.08,17.23172,17231.72
Methane,m3,4894.09,13.458747,13458.75
Methane,m3,4023.77,11.065367,11065.37
Methane,m3,9938.55,27.331012,27331.01
Methane,m3,8804.34,24.211935,24211.94
Methane,m3,6237.83,17.154032,17154.03
Methane,m3,5698.08,15.66972,15669.72
Methane,m3,6210.4,17.0786,17078.6
Methane,m3,2021.11,5.558052,5558.05
Methane,m3,3957.43,10.882932,10882.93
Methane,m3,404.2,1.11155,1111.55
Methane,m3,4760.7,13.091925,13091.92
Methane,m3,5434.82,14.945755,14945.75
Methane,m3,2285.22,6.284355,6284.35
Methane,m3,9640.65,26.511787,26511.79
Methane,m3,9095.45,25.012487,25012.49
Methane,m3,7224.21,19.866577,19866.58
Methane,m3,5338.53,14.680957,14680.96
Methane,m3,8700.99,23.927722,23927.72
Methane,m3,1315.22,3.616855,3616.85
Methane,m3,7907.19,21.744772,21744.77
Methane,m3,1256.96,3.45664,3456.64
Methane,m3,7944.16,21.84644,21846.44
Methane,m3,2764.92,7.60353,7603.53
Methane,m3,8772.13,24.123357,24123.36
Methane,m3,9440.98,25.962695,25962.69
Methane,m3,1496.47,4.115292,4115.29
Methane,m3,4632.13,12.738357,12738.36
Methane,m3,9810.06,26.977665,26977.66
Methane,m3,4839.24,13.30791,13307.91
Methane,m3,8636.84,23.75131,23751.31
Methane,m3,5891.43,16.201432,16201.43
Methane,m3,3759.55,10.338762,10338.76
Methane,m3,2864.98,7.878695,7878.69
Methane,m3,2040.2,5.61055,5610.55
Methane,m3,7620.36,20.95599,20955.99
Methane,m3,3871.54,10.646735,10646.73
Methane,m3,5117.64,14.07351,14073.51
Methane,m3,4928.33,13.552907,13552.91
Methane,m3,5777.02,15.886805,15886.81
Methane,m3,8657.12,23.80708,23807.08
Methane,m3,9807.59,26.970872,26970.87
Methane,m3,4081.77,11.224867,11224.87
Methane,m3,8276.91,22.761502,22761.5
Methane,m3,7647.63,21.030983,21030.98
Methane,m3,5739.55,15.783762,15783.76
Methane,m3,9560.91,26.292502,26292.5
Methane,m3,2012.74,5.535035,5535.03
Methane,m3,1101.55,3.029262,3029.26
Methane,m3,8541.08,23.48797,23487.97
Methane,m3,4397.11,12.092052,12092.05
Methane,m3,8471.22,23.295855,23295.85
Methane,m3,8931.97,24.562917,24562.92
Methane,m3,633.95,1.743362,1743.36
Methane,m3,8835.81,24.298477,24298.48
Methane,m3,4488.71,12.343952,12343.95
Methane,m3,5109.22,14.050355,14050.35
Methane,m3,6269.66,17.241565,17241.56
Methane,m3,9264.56,25.47754,25477.54
Methane,m3,200.97,0.552667,552.67
Methane,m3,4773.67,13.127592,13127.59
Methane,m3,6880.34,18.920935,18920.94
Methane,m3,7229.84,19.88206,19882.06
Methane,m3,6928.4,19.0531,19053.1
Methane,m3,1353.01,3.720777,3720.78
Methane,m3,3000.96,8.25264,8252.64
Methane,m3,3593.57,9.882317,9882.32
Methane,m3,8046.33,22.127407,22127.41
Methane,m3,2794.81,7.685727,7685.73
Methane,m3,2114.94,5.816085,5816.09
Methane,m3,9574.91,26.331002,26331.0
Methane,m3,98.54,0.270985,270.98
Methane,m3,9978.23,27.440132,27440.13
Methane,m3,6771.44,18.62146,18621.46
Methane,m3,8286.41,22.787627,22787.63
Methane,m3,2953.25,8.121437,8121.44
Methane,m3,153.01,0.420777,420.78
Methane,m3,7381.32,20.29863,20298.63
Methane,m3,8343.1,22.943525,22943.53
Methane,m3,7407.36,20.37024,20370.24
Methane,m3,1437.07,3.951942,3951.94
Methane,m3,7536.74,20.726035,20726.03
Methane,m3,7691.54,21.151735,21151.73
Methane,m3,6588.82,18.119255,18119.25
Methane,m3,7663.5,21.074625,21074.62
Methane,m3,8460.76,23.26709,23267.09
Methane,m3,6139.91,16.884752,16884.75
Methane,m3,895.16,2.46169,2461.69
Methane,m3,4881.4,13.42385,13423.85
Methane,m3,785.72,2.16073,2160.73
Methane,m3,4081.35,11.223712,11223.71
Methane,m3,4076.99,11.211722,11211.72
Methane,m3,669.44,1.84096,1840.96
Methane,m3,3494.72,9.61048,9610.48
Methane,m3,1118.87,3.076892,3076.89
Methane,m3,8084.27,22.231742,22231.74
Methane,m3,9477.4,26.06285,26062.85
Methane,m3,732.44,2.01421,2014.21
Methane,m3,9551.6,26.2669,26266.9
Methane,m3,5230.54,14.383985,14383.98
Methane,m3,3002.66,8.257315,8257.31
Methane,m3,777.85,2.139088,2139.09
Methane,m3,5011.24,13.78091,13780.91
Methane,m3,7947.21,21.854827,21854.83
Methane,m3,7073.79,19.452922,19452.92
Methane,m3,511.76,1.40734,1407.34
Methane,m3,738.29,2.030297,2030.3
Methane,m3,4034.7,11.095425,11095.42
Methane,m3,2959.95,8.139862,8139.86
Methane,m3,2331.52,6.41168,6411.68
Methane,m3,2817.23,7.747382,7747.38
Methane,m3,8036.79,22.101172,22101.17
Methane,m3,9292.99,25.555722,25555.72
Methane,m3,4056.98,11.156695,11156.69
Methane,m3,9062.05,24.920637,24920.64
Methane,m3,3221.74,8.859785,8859.78
Methane,m3,4769.61,13.116427,13116.43
Methane,m3,2268.03,6.237083,6237.08
Methane,m3,6408.36,17.62299,17622.99
Methane,m3,9790.02,26.922555,26922.56
Methane,m3,6038.9,16.606975,16606.97
Methane,m3,3584.56,9.85754,9857.54
Methane,m3,6481.7,17.824675,17824.67
Methane,m3,1237.98,3.404445,3404.45
Methane,m3,8887.7,24.441175,24441.18
Methane,m3,5035.81,13.848477,13848.48
Methane,m3,4499.0,12.37225,12372.25
Methane,m3,5862.79,16.122673,16122.67
Methane,m3,6251.59,17.191872,17191.87
Methane,m3,727.04,1.99936,1999.36
Methane,m3,6829.35,18.780712,18780.71
Methane,m3,2426.9,6.673975,6673.97
Methane,m3,7142.39,19.641572,19641.57
Methane,m3,8227.12,22.62458,22624.58
Methane,m3,8041.55,22.114262,22114.26
Methane,m3,5529.48,15.20607,15206.07
Methane,m3,5206.5,14.317875,14317.87
Methane,m3,1437.33,3.952657,3952.66
Methane,m3,7755.71,21.328202,21328.2
Methane,m3,2721.38,7.483795,7483.8
Methane,m3,4971.99,13.672972,13672.97
Methane,m3,2849.9,7.837225,7837.23
Methane,m3,1346.95,3.704112,3704.11
Methane,m3,6299.28,17.32302,17323.02
Methane,m3,552.78,1.520145,1520.14
Methane,m3,7488.97,20.594667,20594.67
Methane,m3,3182.69,8.752397,8752.4
Methane,m3,11.35,0.031212,31.21
Methane,m3,5116.18,14.069495,14069.49
Methane,m3,478.05,1.314637,1314.64
Methane,m3,2768.93,7.614557,7614.56
Methane,m3,7072.7,19.449925,19449.92
Methane,m3,636.27,1.749742,1749.74
Methane,m3,8394.99,23.086222,23086.22
Methane,m3,48.16,0.13244,132.44
Methane,m3,2475.77,6.808367,6808.37
Methane,m3,7411.63,20.381982,20381.98
Methane,m3,3169.54,8.716235,8716.23
Methane,m3,1027.9,2.826725,2826.73
Methane,m3,3608.74,9.924035,9924.03
Methane,m3,2711.23,7.455882,7455.88
